#PROJECTTEAMADD,ProjectName,ProjectTeamType,LoginName
CDKN002OS,User,anorton
CDKN002OS,User,kgraham
CDKN002OS,User,fiannini
CDKN002OS,User,JBrown
CDKN002OS,User,ljones
CDKN002OS,User,lpeskett
CDKN002OS,User,mkooy
CDKN002OS,User,nbird
CDKN002OS,User,ngrist
CDKN002OS,User,RCalow
CDKN002OS,User,tmitchell
CDKN002OS,User,jfottrell
CDKN002OS,User,swhitley
CDKN002OS,User,plewis
CDKN002OS,User,jglennie
CDKN002OS,User,eludi
CDKN002OS,User,ncantore
CDKN002OS,User,ccoles
CDKN002OS,User,kharris
CDKN002OS,User,KEllis
CDKN002OS,User,snakhooda
CDKN002OS,User,nscott
CDKN002OS,User,ewilkinson
